batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,OPS,외국인,weight,weight_category,age,age_category
0,가르시아,2018,LG,0.350,7,20,1,7,1,0,1,11,5,0,0,2,0,3,1,0.55,0.409,1,177cm/93kg,1985,0.959,0.0,93,2,33,2
1,강경학,2011,한화,0.000,4,2,2,0,0,0,0,0,1,0,1,0,2,1,0,0.0,0.5,0,180cm/72kg,1992,0.5,1.0,72,0,19,0
1,강경학,2014,한화,-,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,180cm/72kg,1992,,1.0,72,0,22,0
1,강경학,2015,한화,0.130,10,23,3,3,0,0,0,3,1,3,0,4,1,9,0,0.13,0.286,2,180cm/72kg,1992,0.416,1.0,72,0,23,1
1,강경학,2016,한화,0.188,14,32,4,6,1,1,0,9,2,1,2,0,1,10,0,0.281,0.212,0,180cm/72kg,1992,0.493,1.0,72,0,24,1
1,강경학,2017,한화,0.222,11,36,10,8,0,0,2,14,4,0,0,3,0,10,0,0.389,0.282,1,180cm/72kg,1992,0.6709999999999999,1.0,72,0,25,1
2,강구성,2013,NC,0.000,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,180cm/82kg,1993,0.0,1.0,82,1,20,0
2,강구성,2016,NC,0.000,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.5,0,180cm/82kg,1993,0.5,1.0,82,1,23,1
2,강구성,2017,NC,1.000,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0,180cm/82kg,1993,2.0,1.0,82,1,24,1
69,김태완,2006,한화,0.200,10,15,0,3,0,0,0,3,3,0,0,1,1,5,1,0.2,0.278,0,189cm/105kg,1984,0.478,1.0,105,3,22,0
69,김태완,2007,한화,0.318,8,22,4,7,3,0,3,19,7,0,0,4,0,4,0,0.8640000000000001,0.423,0,189cm/105kg,1984,1.287,1.0,105,3,23,1
69,김태완,2008,한화,0.375,10,24,3,9,1,0,1,13,3,0,0,2,1,2,2,0.542,0.444,0,189cm/105kg,1984,0.986,1.0,105,3,24,1
69,김태완,2009,한화,0.320,10,25,5,8,3,0,1,14,6,0,0,6,0,2,1,0.56,0.452,1,189cm/105kg,1984,1.012,1.0,105,3,25,1
69,김태완,2010,한화,0.400,2,5,2,2,0,1,0,4,1,0,0,0,0,1,0,0.8,0.4,1,189cm/105kg,1984,1.2000000000000002,1.0,105,3,26,1
69,김태완,2013,한화,0.250,9,28,3,7,0,0,0,7,1,0,0,7,1,5,1,0.25,0.417,0,189cm/105kg,1984,0.667,1.0,105,3,29,2
69,김태완,2014,한화,0.125,10,16,1,2,0,0,0,2,1,0,0,3,0,4,0,0.125,0.263,0,189cm/105kg,1984,0.388,1.0,105,3,30,2
69,김태완,2016,한화,0.000,3,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.25,0,189cm/105kg,1984,0.25,1.0,105,3,32,2
69,김태완,2017,넥센,0.370,12,27,2,10,1,0,1,14,14,0,0,2,0,8,1,0.519,0.364,1,189cm/105kg,1984,0.883,1.0,105,3,33,2
69,김태완,2018,넥센,0.375,5,8,2,3,1,0,1,7,3,0,0,2,0,3,0,0.875,0.5,0,189cm/105kg,1984,1.375,1.0,105,3,34,2
3,강민국,2014,NC,0.000,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,176cm/80kg,1992,0.0,1.0,80,1,22,0
3,강민국,2015,NC,0.100,9,10,2,1,1,0,0,2,0,0,0,0,0,4,0,0.2,0.1,0,176cm/80kg,1992,0.3,1.0,80,1,23,1
3,강민국,2016,NC,0.316,16,19,2,6,2,1,0,10,0,0,0,2,0,4,0,0.526,0.381,0,176cm/80kg,1992,0.907,1.0,80,1,24,1
4,강민호,2005,롯데,0.250,11,20,2,5,4,0,0,9,2,0,1,0,0,6,0,0.45,0.25,0,185cm/100kg,1985,0.7,1.0,100,3,20,0
4,강민호,2006,롯데,0.381,9,21,6,8,1,1,2,17,7,0,0,1,0,5,1,0.81,0.391,0,185cm/100kg,1985,1.2009999999999998,1.0,100,3,21,0
4,강민호,2007,롯데,0.136,10,22,2,3,0,0,0,3,2,0,0,0,1,6,1,0.136,0.174,0,185cm/100kg,1985,0.31,1.0,100,3,22,0
4,강민호,2008,롯데,0.200,5,10,0,2,1,0,0,3,2,0,0,0,1,2,0,0.3,0.273,0,185cm/100kg,1985,0.573,1.0,100,3,23,1
4,강민호,2009,롯데,0.167,2,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0.1669999999999999,0.1669999999999999,0,185cm/100kg,1985,0.334,1.0,100,3,24,1
4,강민호,2010,롯데,0.261,10,23,8,6,1,0,4,19,8,0,0,5,1,3,0,0.826,0.414,0,185cm/100kg,1985,1.24,1.0,100,3,25,1
4,강민호,2011,롯데,0.353,13,34,4,12,3,0,2,21,11,0,0,4,0,6,3,0.618,0.4,0,185cm/100kg,1985,1.018,1.0,100,3,26,1
4,강민호,2012,롯데,0.273,5,11,2,3,0,0,0,3,1,0,1,0,0,2,0,0.273,0.273,0,185cm/100kg,1985,0.546,1.0,100,3,27,1
4,강민호,2013,롯데,0.333,6,15,2,5,1,0,1,9,4,0,0,0,2,5,0,0.6,0.389,0,185cm/100kg,1985,0.989,1.0,100,3,28,1
4,강민호,2014,롯데,0.100,8,10,1,1,0,0,0,1,0,0,0,6,1,3,1,0.1,0.471,0,185cm/100kg,1985,0.5710000000000001,1.0,100,3,29,2
4,강민호,2015,롯데,0.158,10,19,1,3,0,0,1,6,3,0,0,0,0,3,0,0.316,0.158,0,185cm/100kg,1985,0.474,1.0,100,3,30,2
4,강민호,2016,롯데,0.095,10,21,3,2,0,0,0,2,1,0,0,4,1,2,1,0.095,0.269,0,185cm/100kg,1985,0.364,1.0,100,3,31,2
4,강민호,2017,롯데,0.300,10,20,1,6,0,0,0,6,0,0,0,1,0,4,1,0.3,0.333,1,185cm/100kg,1985,0.633,1.0,100,3,32,2
4,강민호,2018,삼성,0.300,4,10,3,3,1,0,2,10,3,0,0,0,0,5,0,1.0,0.3,0,185cm/100kg,1985,1.3,1.0,100,3,33,2
5,강백호,2018,KT,0.333,6,18,2,6,1,0,0,7,3,0,0,4,0,5,0,0.389,0.455,0,184cm/98kg,1999,0.8440000000000001,1.0,98,3,19,0
8,강상원,2016,한화,-,6,0,1,0,0,0,0,0,0,2,1,0,0,0,0,,,0,172cm/64kg,1997,,1.0,64,0,19,0
8,강상원,2017,한화,0.000,10,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.5,0,172cm/64kg,1997,0.5,1.0,64,0,20,0
8,강상원,2018,한화,0.000,6,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,172cm/64kg,1997,0.0,1.0,64,0,21,0
9,강승호,2013,LG,0.250,7,12,2,3,2,0,0,5,1,0,0,1,0,6,0,0.417,0.308,1,179cm/77kg,1994,0.725,1.0,77,0,19,0
9,강승호,2016,LG,0.250,13,32,1,8,0,2,0,12,3,2,0,2,1,10,2,0.375,0.314,3,179cm/77kg,1994,0.6890000000000001,1.0,77,0,22,0
9,강승호,2017,LG,0.227,12,22,5,5,2,1,0,9,3,0,0,0,1,6,0,0.409,0.261,2,179cm/77kg,1994,0.6699999999999999,1.0,77,0,23,1
9,강승호,2018,SK,0.222,6,18,1,4,1,0,1,8,3,0,0,1,0,5,1,0.444,0.263,0,179cm/77kg,1994,0.7070000000000001,1.0,77,0,24,1
11,강진성,2017,NC,0.000,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,0,180cm/81kg,1993,0.0,1.0,81,1,24,1
11,강진성,2018,NC,0.250,6,8,1,2,0,0,0,2,0,0,0,0,0,3,0,0.25,0.25,0,180cm/81kg,1993,0.5,1.0,81,1,25,1
12,강한울,2014,KIA,0.207,12,29,5,6,2,0,1,11,3,0,1,1,0,7,0,0.379,0.233,1,181cm/66kg,1991,0.612,1.0,66,0,23,1
12,강한울,2015,KIA,0.600,3,10,2,6,0,1,0,8,1,0,1,0,0,0,0,0.8,0.6,1,181cm/66kg,1991,1.4,1.0,66,0,24,1
12,강한울,2017,삼성,0.222,10,18,2,4,1,0,0,5,1,1,0,0,0,1,0,0.278,0.222,0,181cm/66kg,1991,0.5,1.0,66,0,26,1
12,강한울,2018,삼성,0.214,6,14,1,3,0,0,0,3,0,1,0,0,0,3,0,0.214,0.214,0,181cm/66kg,1991,0.428,1.0,66,0,27,1
162,신성현,2016,한화,0.286,14,35,6,10,1,0,0,11,5,1,0,2,1,9,0,0.314,0.342,1,183cm/92kg,1990,0.6559999999999999,1.0,92,2,26,1
162,신성현,2017,두산,0.324,10,34,7,11,2,0,1,16,8,1,1,3,1,6,0,0.471,0.395,0,183cm/92kg,1990,0.866,1.0,92,2,27,1
162,신성현,2018,두산,0.000,6,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,183cm/92kg,1990,0.0,1.0,92,2,28,1
18,고종욱,2011,넥센,0.263,12,19,4,5,0,1,0,7,2,0,0,1,0,5,0,0.368,0.3,1,184cm/83kg,1989,0.6679999999999999,1.0,83,1,22,0
18,고종욱,2015,넥센,0.125,10,8,4,1,0,1,0,3,0,2,0,0,0,2,0,0.375,0.125,0,184cm/83kg,1989,0.5,1.0,83,1,26,1
18,고종욱,2016,넥센,0.293,13,41,7,12,2,0,0,14,2,3,1,2,0,11,0,0.341,0.318,0,184cm/83kg,1989,0.659,1.0,83,1,27,1
18,고종욱,2017,넥센,0.438,11,32,5,14,3,0,0,17,6,2,0,1,0,5,0,0.531,0.455,0,184cm/83kg,1989,0.986,1.0,83,1,28,1
18,고종욱,2018,넥센,0.385,6,13,3,5,1,1,1,11,1,2,0,2,0,4,0,0.846,0.467,0,184cm/83kg,1989,1.3130000000000002,1.0,83,1,29,2
19,구자욱,2015,삼성,0.293,12,41,8,12,1,1,2,21,7,2,2,3,0,9,1,0.512,0.341,0,189cm/75kg,1993,0.853,1.0,75,0,22,0
19,구자욱,2016,삼성,0.346,15,52,10,18,5,1,0,25,6,3,1,5,1,8,1,0.481,0.414,2,189cm/75kg,1993,0.895,1.0,75,0,23,1
19,구자욱,2017,삼성,0.294,12,34,3,10,1,2,0,15,2,1,0,3,0,7,0,0.441,0.342,0,189cm/75kg,1993,0.7829999999999999,1.0,75,0,24,1
19,구자욱,2018,삼성,0.250,6,12,2,3,0,0,0,3,1,0,0,1,1,5,0,0.25,0.357,0,189cm/75kg,1993,0.607,1.0,75,0,25,1
20,국해성,2012,두산,0.000,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,180cm/94kg,1989,0.0,1.0,94,3,23,1
20,국해성,2015,두산,0.200,11,20,6,4,1,0,1,8,5,0,0,2,1,5,2,0.4,0.28,0,180cm/94kg,1989,0.68,1.0,94,3,26,1
20,국해성,2016,두산,0.278,58,151,28,42,11,0,4,65,24,1,1,21,1,36,1,0.43,0.368,1,180cm/94kg,1989,0.7979999999999999,1.0,94,3,27,1
20,국해성,2017,두산,0.209,57,86,15,18,3,0,3,30,17,0,0,5,4,23,2,0.349,0.281,0,180cm/94kg,1989,0.63,1.0,94,3,28,1
20,국해성,2018,두산,0.333,14,24,4,8,3,0,0,11,1,1,0,3,1,5,1,0.458,0.429,0,180cm/94kg,1989,0.887,1.0,94,3,29,2
