batter_id,batter_name,year,team,avg,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,height/weight,year_born,OPS,외국인,weight,weight_category,age,age_category
0,가르시아,2018,LG,0.339,50,183,27,62,9,0,8,95,34,5,0,9,8,25,3,0.519,0.383,9,177cm/93kg,1985,0.902,0,93.0,2.0,33,2
1,강경학,2011,한화,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1,180cm/72kg,1992,0.0,1,72.0,0.0,19,0
1,강경학,2014,한화,0.221,41,86,11,19,2,3,1,30,7,0,0,13,2,28,1,0.349,0.337,6,180cm/72kg,1992,0.6859999999999999,1,72.0,0.0,22,0
1,강경학,2015,한화,0.257,120,311,50,80,7,4,2,101,27,4,3,40,5,58,3,0.325,0.348,15,180cm/72kg,1992,0.6729999999999999,1,72.0,0.0,23,1
1,강경학,2016,한화,0.158,46,101,16,16,3,2,1,26,7,0,0,8,2,30,5,0.257,0.232,7,180cm/72kg,1992,0.489,1,72.0,0.0,24,1
1,강경학,2017,한화,0.214,59,84,17,18,2,1,0,22,4,1,1,8,1,19,1,0.262,0.29,4,180cm/72kg,1992,0.552,1,72.0,0.0,25,1
1,강경학,2018,한화,0.278,77,245,42,68,11,1,5,96,27,6,3,38,4,59,7,0.392,0.382,2,180cm/72kg,1992,0.774,1,72.0,0.0,26,1
2,강구성,2013,NC,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,180cm/82kg,1993,0.0,1,82.0,1.0,20,0
2,강구성,2015,NC,0.2,4,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0.4,0.2,0,180cm/82kg,1993,0.6000000000000001,1,82.0,1.0,22,0
2,강구성,2016,NC,0.0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,180cm/82kg,1993,0.0,1,82.0,1.0,23,1
2,강구성,2017,NC,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,180cm/82kg,1993,0.0,1,82.0,1.0,24,1
2,강구성,2018,NC,0.2,4,5,0,1,1,0,0,2,1,0,0,0,0,3,0,0.4,0.2,0,180cm/82kg,1993,0.6000000000000001,1,82.0,1.0,25,1
138,백승룡,2005,한화,0.127,39,63,9,8,2,0,0,10,3,1,2,7,4,15,1,0.1587301587301587,0.2567567567567567,3,,1982,0.4154869154869154,1,,,23,1
138,백승룡,2006,한화,0.139,37,36,6,5,2,0,0,7,0,1,0,8,2,14,0,0.1944444444444444,0.3260869565217391,4,,1982,0.5205314009661836,1,,,24,1
138,백승룡,2007,한화,0.0,8,4,3,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0,,1982,0.0,1,,,25,1
138,백승룡,2008,한화,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,,1982,0.0,1,,,26,1
138,백승룡,2011,한화,0.176,38,51,7,9,2,0,0,11,3,1,1,7,2,13,1,0.215686274509804,0.3,0,,1982,0.5156862745098039,1,,,29,2
138,백승룡,2012,한화,0.231,33,52,3,12,1,0,0,13,3,3,0,6,3,20,0,0.25,0.3442622950819672,1,,1982,0.5942622950819672,1,,,30,2
138,백승룡,2013,한화,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,1982,,1,,,31,2
297,진갑용,1997,두산,0.242,95,281,21,68,7,0,4,87,20,2,0,20,6,44,7,0.3096085409252669,0.3061889250814332,6,,1974,0.6157974660067002,1,,,23,1
297,진갑용,1998,두산,0.269,88,253,12,68,14,1,2,90,22,1,1,14,0,44,10,0.3557312252964427,0.3071161048689138,7,,1974,0.6628473301653566,1,,,24,1
297,진갑용,1999,삼성,0.212,68,156,13,33,3,0,4,48,17,0,2,10,2,29,7,0.3076923076923077,0.2678571428571428,7,,1974,0.5755494505494505,1,,,25,1
297,진갑용,2000,삼성,0.273,114,297,30,81,14,0,8,119,58,2,1,23,6,45,7,0.4006734006734007,0.3374233128834356,7,,1974,0.7380967135568363,1,,,26,1
297,진갑용,2001,삼성,0.306,89,314,54,96,25,2,7,146,57,2,3,23,7,37,4,0.4649681528662421,0.3662790697674417,4,,1974,0.8312472226336839,1,,,27,1
297,진갑용,2002,삼성,0.281,133,462,58,130,29,1,18,215,86,0,0,41,8,56,13,0.4653679653679654,0.350293542074364,11,,1974,0.8156615074423293,1,,,28,1
297,진갑용,2003,삼성,0.29,126,435,64,126,20,2,21,213,53,1,1,36,10,34,13,0.4896551724137931,0.3575883575883576,13,,1974,0.8472435300021507,1,,,29,2
297,진갑용,2004,삼성,0.278,129,439,60,122,20,0,24,214,71,0,0,34,12,51,16,0.4874715261958998,0.3463917525773196,5,,1974,0.8338632787732194,1,,,30,2
297,진갑용,2005,삼성,0.288,110,347,34,100,17,0,6,135,41,1,1,36,8,47,8,0.3890489913544669,0.3682864450127877,6,,1974,0.7573354363672546,1,,,31,2
297,진갑용,2006,삼성,0.288,110,358,28,103,22,0,6,143,47,1,2,29,5,37,18,0.3994413407821229,0.3494897959183674,4,,1974,0.7489311367004903,1,,,32,2
297,진갑용,2007,삼성,0.246,122,362,28,89,12,0,5,116,39,0,1,49,7,38,9,0.3204419889502762,0.34688995215311,4,,1974,0.6673319411033862,1,,,33,2
297,진갑용,2008,삼성,0.279,105,272,34,76,7,0,11,116,45,1,1,30,1,41,6,0.4264705882352941,0.3531353135313531,3,,1974,0.7796059017666472,1,,,34,2
297,진갑용,2009,삼성,0.232,57,142,10,33,3,1,3,47,20,1,2,15,4,23,5,0.3309859154929577,0.3229813664596273,2,,1974,0.653967281952585,1,,,35,2
297,진갑용,2010,삼성,0.263,100,259,36,68,8,0,10,106,28,0,0,45,2,57,7,0.4092664092664093,0.3758169934640523,4,,1974,0.7850834027304616,1,,,36,2
297,진갑용,2011,삼성,0.273,112,286,26,78,7,0,10,115,42,1,0,35,3,53,10,0.4020979020979021,0.3580246913580247,6,,1974,0.7601225934559268,1,,,37,2
297,진갑용,2012,삼성,0.307,114,313,27,96,15,1,6,131,57,0,0,17,7,46,6,0.4185303514376997,0.3560830860534125,3,,1974,0.7746134374911122,1,,,38,3
297,진갑용,2013,삼성,0.271,101,181,22,49,9,0,6,76,36,0,0,12,5,28,5,0.4198895027624309,0.3333333333333333,4,,1974,0.7532228360957642,1,,,39,3
